case_id,fir_number,filed_date,modus_operandi,weapon_type,status,narrative_kn,narrative_en,location_id,sensitivity_level
KA-2026-00001,FIR/2026/1520,2026-04-27,chain snatching on foot near market,knife,under investigation,"Mysuru ಪ್ರದೇಶದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 04:44. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.",Complainant reported a chain snatching on foot near market at approximately 04:44 in Mysuru. A knife was reportedly involved. Case status: under investigation.,LOC-fa94b86e,restricted
KA-2025-00002,FIR/2025/3615,2025-11-28,chain snatching on foot near market,none (cyber/no physical weapon),chargesheet filed,Belagavi ನಲ್ಲಿ 19:43 ಸಮಯದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of chain snatching on foot near market was registered in Belagavi. Incident occurred around 19:43. No weapon was involved. Current status: chargesheet filed.,LOC-9963984c,standard
KA-2025-00003,FIR/2025/6635,2025-08-13,shop burglary after business hours,none,under investigation,"Hubballi-Dharwad ಪ್ರದೇಶದಲ್ಲಿ ವ್ಯಾಪಾರದ ಸಮಯದ ನಂತರ ಅಂಗಡಿ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 04:42. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.",Complainant reported a shop burglary after business hours at approximately 04:42 in Hubballi-Dharwad. No weapon was involved. Case status: under investigation.,LOC-9eddee38,standard
KA-2025-00004,FIR/2025/1750,2025-07-15,ATM tampering attempt,none,closed,Tumakuru ನಲ್ಲಿ 18:43 ಸಮಯದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.,Complainant reported a ATM tampering attempt at approximately 18:43 in Tumakuru. No weapon was involved. Case status: closed.,LOC-debddecb,standard
KA-2025-00005,FIR/2025/6820,2025-07-20,ATM tampering attempt,blunt object,pending forensic report,"Mysuru ಪ್ರದೇಶದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 17:55. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",Complainant reported a ATM tampering attempt at approximately 17:55 in Mysuru. A blunt object was reportedly involved. Case status: pending forensic report.,LOC-efc8be33,standard
KA-2025-00006,FIR/2025/6313,2025-08-12,chain snatching on foot near market,knife,pending forensic report,Mysuru ನಲ್ಲಿ 11:07 ಸಮಯದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,A case of chain snatching on foot near market was registered in Mysuru. Incident occurred around 11:07. A knife was reportedly involved. Current status: pending forensic report.,LOC-abb83e3d,standard
KA-2024-00007,FIR/2024/9179,2024-11-23,ATM tampering attempt,blunt object,under investigation,Belagavi ನಲ್ಲಿ 18:00 ಸಮಯದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,A case of ATM tampering attempt was registered in Belagavi. Incident occurred around 18:00. A blunt object was reportedly involved. Current status: under investigation.,LOC-d9f4033d,standard
KA-2026-00008,FIR/2026/4593,2026-06-25,cyber fraud via phishing call,blunt object,pending forensic report,"Tumakuru ಪ್ರದೇಶದಲ್ಲಿ ಫಿಶಿಂಗ್ ಕರೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 11:41. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of cyber fraud via phishing call was registered in Tumakuru. Incident occurred around 11:41. A blunt object was reportedly involved. Current status: pending forensic report.,LOC-ed2cf155,standard
KA-2025-00009,FIR/2025/7252,2025-10-17,residential break-in via forced door lock,knife,chargesheet filed,"Shivamogga ಪ್ರದೇಶದಲ್ಲಿ ಬಾಗಿಲಿನ ಬೀಗ ಮುರಿದು ಮನೆ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 19:15. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",Complainant reported a residential break-in via forced door lock at approximately 19:15 in Shivamogga. A knife was reportedly involved. Case status: chargesheet filed.,LOC-7924c096,standard
KA-2025-00010,FIR/2025/8123,2025-06-12,residential break-in via rear window,none,closed,"Shivamogga ಪ್ರದೇಶದಲ್ಲಿ ಹಿಂಬದಿ ಕಿಟಕಿಯ ಮೂಲಕ ಮನೆ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 10:39. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",Complainant reported a residential break-in via rear window at approximately 10:39 in Shivamogga. No weapon was involved. Case status: closed.,LOC-61f2aa9a,standard
KA-2026-00011,FIR/2026/7126,2026-02-27,cyber fraud via phishing call,none,closed,Hubballi-Dharwad ನಲ್ಲಿ 15:02 ಸಮಯದಲ್ಲಿ ಫಿಶಿಂಗ್ ಕರೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.,Complainant reported a cyber fraud via phishing call at approximately 15:02 in Hubballi-Dharwad. No weapon was involved. Case status: closed.,LOC-2c475c2b,standard
KA-2025-00012,FIR/2025/1949,2025-07-17,pickpocketing in crowded transit area,none,under investigation,Shivamogga ನಲ್ಲಿ 20:54 ಸಮಯದಲ್ಲಿ ಜನನಿಬಿಡ ಸ್ಥಳದಲ್ಲಿ ಜೇಬುಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,A case of pickpocketing in crowded transit area was registered in Shivamogga. Incident occurred around 20:54. No weapon was involved. Current status: under investigation.,LOC-ebf2e9db,standard
KA-2026-00013,FIR/2026/9645,2026-01-08,residential break-in via forced door lock,knife,chargesheet filed,"Mysuru ಪ್ರದೇಶದಲ್ಲಿ ಬಾಗಿಲಿನ ಬೀಗ ಮುರಿದು ಮನೆ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 07:48. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",Complainant reported a residential break-in via forced door lock at approximately 07:48 in Mysuru. A knife was reportedly involved. Case status: chargesheet filed.,LOC-c8e888c0,standard
KA-2025-00014,FIR/2025/2982,2025-08-03,chain snatching on foot near market,blunt object,pending forensic report,"Belagavi ಪ್ರದೇಶದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 02:07. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of chain snatching on foot near market was registered in Belagavi. Incident occurred around 02:07. A blunt object was reportedly involved. Current status: pending forensic report.,LOC-e167733d,standard
KA-2024-00015,FIR/2024/2104,2024-04-20,cyber fraud via fake job offer,knife,under investigation,Kalaburagi ನಲ್ಲಿ 06:48 ಸಮಯದಲ್ಲಿ ನಕಲಿ ಉದ್ಯೋಗ ನೀಡಿಕೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,Complainant reported a cyber fraud via fake job offer at approximately 06:48 in Kalaburagi. A knife was reportedly involved. Case status: under investigation.,LOC-d1ea1ed7,standard
KA-2026-00016,FIR/2026/8749,2026-06-06,pickpocketing in crowded transit area,knife,chargesheet filed,Mysuru ನಲ್ಲಿ 02:01 ಸಮಯದಲ್ಲಿ ಜನನಿಬಿಡ ಸ್ಥಳದಲ್ಲಿ ಜೇಬುಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of pickpocketing in crowded transit area was registered in Mysuru. Incident occurred around 02:01. A knife was reportedly involved. Current status: chargesheet filed.,LOC-fa94b86e,standard
KA-2024-00017,FIR/2024/7596,2024-03-25,ATM tampering attempt,none (cyber/no physical weapon),pending forensic report,Mysuru ನಲ್ಲಿ 03:38 ಸಮಯದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,Complainant reported a ATM tampering attempt at approximately 03:38 in Mysuru. No weapon was involved. Case status: pending forensic report.,LOC-b47cff09,standard
KA-2025-00018,FIR/2025/2235,2025-03-08,two-wheeler theft from parking area,none (cyber/no physical weapon),chargesheet filed,Belagavi ನಲ್ಲಿ 16:54 ಸಮಯದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of two-wheeler theft from parking area was registered in Belagavi. Incident occurred around 16:54. No weapon was involved. Current status: chargesheet filed.,LOC-13e5539f,standard
KA-2024-00019,FIR/2024/8886,2024-09-15,residential break-in via rear window,none,chargesheet filed,"Mysuru ಪ್ರದೇಶದಲ್ಲಿ ಹಿಂಬದಿ ಕಿಟಕಿಯ ಮೂಲಕ ಮನೆ ಕಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 08:31. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",A case of residential break-in via rear window was registered in Mysuru. Incident occurred around 08:31. No weapon was involved. Current status: chargesheet filed.,LOC-c8e888c0,standard
KA-2025-00020,FIR/2025/3536,2025-03-19,ATM tampering attempt,blunt object,pending forensic report,"Bengaluru Urban ಪ್ರದೇಶದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 02:51. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of ATM tampering attempt was registered in Bengaluru Urban. Incident occurred around 02:51. A blunt object was reportedly involved. Current status: pending forensic report.,LOC-a1b34319,standard
KA-2026-00021,FIR/2026/1931,2026-06-26,shop burglary after business hours,none,under investigation,Bengaluru Urban ನಲ್ಲಿ 11:43 ಸಮಯದಲ್ಲಿ ವ್ಯಾಪಾರದ ಸಮಯದ ನಂತರ ಅಂಗಡಿ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,A case of shop burglary after business hours was registered in Bengaluru Urban. Incident occurred around 11:43. No weapon was involved. Current status: under investigation.,LOC-f22e7bd7,standard
KA-2026-00022,FIR/2026/2343,2026-06-03,chain snatching on foot near market,none (cyber/no physical weapon),under investigation,Mangaluru ನಲ್ಲಿ 23:02 ಸಮಯದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,Complainant reported a chain snatching on foot near market at approximately 23:02 in Mangaluru. No weapon was involved. Case status: under investigation.,LOC-a60397df,standard
KA-2025-00023,FIR/2025/5915,2025-02-16,chain snatching on foot near market,blunt object,chargesheet filed,Davanagere ನಲ್ಲಿ 14:49 ಸಮಯದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of chain snatching on foot near market was registered in Davanagere. Incident occurred around 14:49. A blunt object was reportedly involved. Current status: chargesheet filed.,LOC-ee0c9478,standard
KA-2026-00024,FIR/2026/6718,2026-02-24,residential break-in via forced door lock,none,chargesheet filed,Bengaluru Urban ನಲ್ಲಿ 20:44 ಸಮಯದಲ್ಲಿ ಬಾಗಿಲಿನ ಬೀಗ ಮುರಿದು ಮನೆ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of residential break-in via forced door lock was registered in Bengaluru Urban. Incident occurred around 20:44. No weapon was involved. Current status: chargesheet filed.,LOC-a1b34319,standard
KA-2026-00025,FIR/2026/3200,2026-05-11,cyber fraud via phishing call,blunt object,under investigation,Kalaburagi ನಲ್ಲಿ 13:04 ಸಮಯದಲ್ಲಿ ಫಿಶಿಂಗ್ ಕರೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,A case of cyber fraud via phishing call was registered in Kalaburagi. Incident occurred around 13:04. A blunt object was reportedly involved. Current status: under investigation.,LOC-3ef1929e,standard
KA-2025-00026,FIR/2025/1832,2025-02-14,chain snatching on foot near market,blunt object,chargesheet filed,"Shivamogga ಪ್ರದೇಶದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 02:01. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",A case of chain snatching on foot near market was registered in Shivamogga. Incident occurred around 02:01. A blunt object was reportedly involved. Current status: chargesheet filed.,LOC-56d22747,standard
KA-2025-00027,FIR/2025/2832,2025-11-17,two-wheeler theft from parking area,blunt object,chargesheet filed,Hubballi-Dharwad ನಲ್ಲಿ 08:49 ಸಮಯದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of two-wheeler theft from parking area was registered in Hubballi-Dharwad. Incident occurred around 08:49. A blunt object was reportedly involved. Current status: chargesheet filed.,LOC-4e14b28c,standard
